H0,S3,weight,group_id
842833,2822,0.0,12
842839,2822,0.0,12
842840,2822,0.0,12
842850,2822,0.0,12
842860,2822,0.0,12
842890,2822,0.0,12
843010,2822,0.0,12
843020,2822,0.0,12
843039,2822,0.0,12
843049,2822,0.0,12
843061,2822,0.0,12
843062,2822,0.0,12
843069,2822,0.0,12
843110,2822,0.0,12
843120,2822,0.0,12
843131,2822,0.0,12
843139,2822,0.0,12
844240,2822,0.0,12
844321,2822,0.0,12
844329,2822,0.0,12
844330,2822,0.0,12
844340,2822,0.0,12
844350,2822,0.0,12
844360,2822,0.0,12
844390,2822,0.0,12
845610,2822,0.0,12
845620,2822,0.0,12
845630,2822,0.0,12
845690,2822,0.0,12
846210,2822,0.0,12
846221,2822,0.0,12
846229,2822,0.0,12
846231,2822,0.0,12
846239,2822,0.0,12
846241,2822,0.0,12
846249,2822,0.0,12
846291,2822,0.0,12
846299,2822,0.0,12
846410,2822,0.0,12
846420,2822,0.0,12
846490,2822,0.0,12
846510,2822,0.0,12
846591,2822,0.0,12
846592,2822,0.0,12
846593,2822,0.0,12
846594,2822,0.0,12
846595,2822,0.0,12
846596,2822,0.0,12
846599,2822,0.0,12
846610,2822,0.0,12
846620,2822,0.0,12
846630,2822,0.0,12
846691,2822,0.0,12
846692,2822,0.0,12
846693,2822,0.0,12
846694,2822,0.0,12
846711,2822,0.0,12
846719,2822,0.0,12
846781,2822,0.0,12
846789,2822,0.0,12
846791,2822,0.0,12
846792,2822,0.0,12
846799,2822,0.0,12
846910,2822,0.0,12
846921,2822,0.0,12
846929,2822,0.0,12
846931,2822,0.0,12
846939,2822,0.0,12
847010,2822,0.0,12
847021,2822,0.0,12
847029,2822,0.0,12
847030,2822,0.0,12
847040,2822,0.0,12
847050,2822,0.0,12
847090,2822,0.0,12
847110,2822,0.0,12
847120,2822,0.0,12
847191,2822,0.0,12
847192,2822,0.0,12
847193,2822,0.0,12
847199,2822,0.0,12
847210,2822,0.0,12
847220,2822,0.0,12
847230,2822,0.0,12
847290,2822,0.0,12
847310,2822,0.0,12
847321,2822,0.0,12
847329,2822,0.0,12
847330,2822,0.0,12
847340,2822,0.0,12
847510,2822,0.0,12
847520,2822,0.0,12
847590,2822,0.0,12
847710,2822,0.0,12
847720,2822,0.0,12
847730,2822,0.0,12
847740,2822,0.0,12
847751,2822,0.0,12
847759,2822,0.0,12
847780,2822,0.0,12
847790,2822,0.0,12
847810,2822,0.0,12
847890,2822,0.0,12
847910,2822,0.0,12
847930,2822,0.0,12
847940,2822,0.0,12
847981,2822,0.0,12
847982,2822,0.0,12
847989,2822,0.0,12
847990,2822,0.0,12
848010,2822,0.0,12
848020,2822,0.0,12
848030,2822,0.0,12
848041,2822,0.0,12
848049,2822,0.0,12
848050,2822,0.0,12
848060,2822,0.0,12
848071,2822,0.0,12
848079,2822,0.0,12
850410,2822,0.0,12
850440,2822,0.0,12
850450,2822,0.0,12
850490,2822,0.0,12
850511,2822,0.0,12
850519,2822,0.0,12
850520,2822,0.0,12
850530,2822,0.0,12
850590,2822,0.0,12
850611,2822,0.0,12
850612,2822,0.0,12
850613,2822,0.0,12
850619,2822,0.0,12
850620,2822,0.0,12
850690,2822,0.0,12
850710,2822,0.0,12
850720,2822,0.0,12
850730,2822,0.0,12
850740,2822,0.0,12
850780,2822,0.0,12
850790,2822,0.0,12
850810,2822,0.0,12
850820,2822,0.0,12
850880,2822,0.0,12
850890,2822,0.0,12
850910,2822,0.0,12
850920,2822,0.0,12
850930,2822,0.0,12
850940,2822,0.0,12
850980,2822,0.0,12
850990,2822,0.0,12
851410,2822,0.0,12
851420,2822,0.0,12
851430,2822,0.0,12
851440,2822,0.0,12
851490,2822,0.0,12
851511,2822,0.0,12
851519,2822,0.0,12
851521,2822,0.0,12
851529,2822,0.0,12
851531,2822,0.0,12
851539,2822,0.0,12
851580,2822,0.0,12
851590,2822,0.0,12
851710,2822,0.0,12
851720,2822,0.0,12
851730,2822,0.0,12
851740,2822,0.0,12
851781,2822,0.0,12
851782,2822,0.0,12
851790,2822,0.0,12
851890,2822,0.0,12
851910,2822,0.0,12
851921,2822,0.0,12
851929,2822,0.0,12
851931,2822,0.0,12
851939,2822,0.0,12
851940,2822,0.0,12
851991,2822,0.0,12
851999,2822,0.0,12
852010,2822,0.0,12
852020,2822,0.0,12
852031,2822,0.0,12
852039,2822,0.0,12
852090,2822,0.0,12
852110,2822,0.0,12
852190,2822,0.0,12
852210,2822,0.0,12
852290,2822,0.0,12
852311,2822,0.0,12
852312,2822,0.0,12
852313,2822,0.0,12
852320,2822,0.0,12
852390,2822,0.0,12
852410,2822,0.0,12
852421,2822,0.0,12
852422,2822,0.0,12
852423,2822,0.0,12
852490,2822,0.0,12
852510,2822,0.0,12
852520,2822,0.0,12
852530,2822,0.0,12
852610,2822,0.0,12
852691,2822,0.0,12
852692,2822,0.0,12
852790,2822,0.0,12
852810,2822,0.0,12
852820,2822,0.0,12
852910,2822,0.0,12
852990,2822,0.0,12
853010,2822,0.0,12
853080,2822,0.0,12
853090,2822,0.0,12
853110,2822,0.0,12
853120,2822,0.0,12
853180,2822,0.0,12
853190,2822,0.0,12
854160,2822,0.0,12
854190,2822,0.0,12
854211,2822,0.0,12
854219,2822,0.0,12
854220,2822,0.0,12
854280,2822,0.0,12
854290,2822,0.0,12
854310,2822,0.0,12
854320,2822,0.0,12
854330,2822,0.0,12
854380,2822,0.0,12
854390,2822,0.0,12
854511,2822,0.0,12
854519,2822,0.0,12
854520,2822,0.0,12
854590,2822,0.0,12
854800,2822,0.0,12
900610,2822,0.0,12
900620,2822,0.0,12
900630,2822,0.0,12
900640,2822,0.0,12
900651,2822,0.0,12
900652,2822,0.0,12
900653,2822,0.0,12
900659,2822,0.0,12
900661,2822,0.0,12
900662,2822,0.0,12
900669,2822,0.0,12
900691,2822,0.0,12
900699,2822,0.0,12
900810,2822,0.0,12
900820,2822,0.0,12
900830,2822,0.0,12
900840,2822,0.0,12
900890,2822,0.0,12
900911,2822,0.0,12
900912,2822,0.0,12
900921,2822,0.0,12
900922,2822,0.0,12
900930,2822,0.0,12
900990,2822,0.0,12
901010,2822,0.0,12
901020,2822,0.0,12
901030,2822,0.0,12
901090,2822,0.0,12
901110,2822,0.0,12
901120,2822,0.0,12
901180,2822,0.0,12
901190,2822,0.0,12
901210,2822,0.0,12
901290,2822,0.0,12
