S2,S3,weight,group_id
7721,7725,0.6165264185929447,60
7721,7726,0.0934647747291745,60
7721,7728,0.2082002456696346,60
3414,3432,0.9590632274902025,31
3414,3449,0.0409367725097977,31
8830,8831,0.6746210178214042,69
8830,8839,0.3253789821785956,69
1121,1121,1.0,13
1124,1121,1.418056222165318e-09,13
1121,1124,0.0,13
1124,1124,0.9999999985819438,13
2890,2891,0.2660998706686174,28
2890,2892,0.7339001293313824,28
0019,0019,0.4480606600353857,1
0114,0019,0.0,1
0118,0019,0.0,1
0129,0019,0.0,1
0141,0019,0.0,1
0149,0019,0.0,1
0223,0019,0.0,1
0224,0019,0.0,1
0341,0019,0.0,1
0342,0019,0.0,1
0343,0019,0.0,1
0360,0019,0.0,1
0371,0019,0.0,1
0372,0019,0.0,1
0440,0019,0.0,1
0481,0019,0.0,1
0483,0019,0.0,1
0484,0019,0.0,1
0488,0019,0.0,1
0545,0019,0.0,1
0546,0019,0.0,1
0548,0019,0.0,1
0561,0019,0.0,1
0565,0019,0.0,1
0583,0019,0.0,1
0586,0019,0.0,1
0589,0019,0.0,1
0619,0019,0.0,1
0711,0019,0.0,1
0712,0019,0.0,1
0730,0019,0.0,1
0742,0019,0.0,1
0751,0019,0.0,1
0811,0019,0.0,1
0819,0019,0.0,1
0913,0019,0.0,1
0914,0019,0.0,1
0980,0019,0.0,1
1110,0019,0.0,1
2320,0019,0.0,1
2331,0019,0.0,1
2482,0019,0.0,1
2483,0019,0.0,1
2687,0019,0.0,1
2711,0019,0.0,1
2712,0019,0.0,1
2732,0019,0.0,1
2786,0019,0.0,1
2924,0019,0.0,1
2926,0019,0.0,1
2927,0019,0.0,1
2929,0019,0.0,1
3345,0019,0.0,1
4111,0019,0.0,1
4113,0019,0.0,1
4232,0019,0.0,1
4233,0019,0.0,1
4234,0019,0.0,1
4235,0019,0.0,1
4236,0019,0.0,1
4239,0019,0.0,1
4241,0019,0.0,1
4242,0019,0.0,1
4243,0019,0.0,1
4244,0019,0.0,1
4245,0019,0.0,1
4249,0019,0.0,1
4311,0019,0.0,1
4312,0019,0.0,1
4314,0019,0.0,1
5111,0019,0.0,1
5121,0019,0.0,1
5169,0019,0.0,1
5231,0019,0.0,1
5232,0019,0.0,1
5239,0019,0.0,1
5241,0019,0.0,1
5249,0019,0.0,1
5331,0019,0.0,1
5335,0019,0.0,1
5416,0019,0.0,1
5417,0019,0.0,1
5419,0019,0.0,1
5513,0019,0.0,1
5530,0019,0.0,1
5541,0019,0.0,1
5542,0019,0.0,1
5621,0019,0.0,1
5623,0019,0.0,1
5629,0019,0.0,1
5821,0019,0.0,1
5822,0019,0.0,1
5823,0019,0.0,1
5824,0019,0.0,1
5825,0019,0.0,1
5826,0019,0.0,1
5827,0019,0.0,1
5828,0019,0.0,1
5829,0019,0.0,1
5831,0019,0.0,1
5832,0019,0.0,1
5833,0019,0.0,1
5834,0019,0.0,1
5835,0019,0.0,1
5836,0019,0.0,1
5837,0019,0.0,1
5838,0019,0.0,1
5839,0019,0.0,1
5841,0019,0.0,1
5842,0019,0.0,1
5843,0019,0.0,1
5849,0019,0.0,1
5851,0019,0.0,1
5852,0019,0.0,1
5922,0019,0.0,1
5981,0019,0.0,1
5982,0019,0.0,1
5983,0019,0.0,1
5989,0019,0.0,1
6123,0019,0.0,1
6129,0019,0.0,1
6210,0019,0.0,1
6282,0019,0.0,1
6289,0019,0.0,1
6330,0019,0.0,1
6341,0019,0.0,1
6342,0019,0.0,1
6343,0019,0.0,1
6344,0019,0.0,1
6349,0019,0.0,1
6351,0019,0.0,1
6353,0019,0.0,1
6354,0019,0.0,1
6359,0019,0.0,1
6411,0019,0.0,1
6412,0019,0.0,1
6413,0019,0.0,1
6415,0019,0.0,1
6416,0019,0.0,1
6417,0019,0.0,1
6418,0019,0.0,1
6419,0019,0.0,1
6421,0019,0.0,1
6424,0019,0.0,1
6428,0019,0.0,1
6511,0019,0.0,1
6512,0019,0.0,1
6513,0019,0.0,1
6514,0019,0.0,1
6515,0019,0.0,1
6516,0019,0.0,1
6517,0019,0.0,1
6518,0019,0.0,1
